,업무,공고번호-차수,분류,공고명,URL주소,공고기관,수요기관,계약방법,입력일시,공동수급,투찰여부
73,용역,20190206090-01,취소,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190206090&bidseq=01&releaseYn=Y&taskClCd=5 ,2019 아이디어 카운슬링 캠프 위탁용역,사단법인 한국여성벤처협회,사단법인 한국여성벤처협회,일반(총액)협상에의한계약,2019/02/11 10:07(-),,
74,용역,20190200865-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190200865&bidseq=00&releaseYn=Y&taskClCd=5 ,부산공업고등학교 도제역량강화캠프 위탁용역 소액수의 견적제출 안내공고,부산광역시교육청 부산공업고등학교,부산광역시교육청 부산공업고등학교,수의(총액)소액수의,2019/02/01 14:29(2019/02/12 10:00),,마감
75,용역,20190200141-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190200141&bidseq=00&releaseYn=Y&taskClCd=5 ,서울창의마을 풍납캠프 활용 기본계획 수립 연구 용역,서울특별시,서울특별시,제한(총액)협상에의한계약,2019/02/01 09:57(2019/02/15 16:00),마감,마감
76,공사,20190133282-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190133282&bidseq=00&releaseYn=Y&taskClCd=3 ,양평 맑은숲캠프 야외 물놀이시설 조성공사,조달청 서울지방조달청,양평공사,지역제한,2019/01/31 14:30(2019/02/13 10:00),마감,마감
77,용역,20190131121-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190131121&bidseq=00&releaseYn=Y&taskClCd=1 ,2019 국립과천과학관 과학희망캠프 위탁운영,조달청 서울지방조달청,과학기술정보통신부 국립과천과학관,일반(총액)협상에의한계약,2019/01/30 14:07(2019/02/19 10:00),,마감
78,용역,20190131071-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190131071&bidseq=00&releaseYn=Y&taskClCd=5 ,2019년 경남 직업계고 2학년 글로벌 영어캠프 위탁 용역 2단계 입찰 공고,경상남도교육청,경상남도교육청,제한(총액)규격가격동시,2019/01/29 21:55(2019/02/11 10:00),,마감
79,민간,20190127831-01,변경,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190127831&bidseq=01&releaseYn=Y&taskClCd=20,2019 제주유나이티드 유소년 축구캠프 지원 사업,제주유나이티드에프씨주식회사,제주유나이티드에프씨주식회사,일반경쟁,2019/01/29 10:15(2019/02/07 17:00),,마감
80,용역,20190127871-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190127871&bidseq=00&releaseYn=Y&taskClCd=5 ,2019년 장령산자연휴양림 산림치유 두드림캠프 운영사업 용역(협상에 의한 계약),충청북도 옥천군,충청북도 옥천군,일반(총액)협상에의한계약,2019/01/28 11:06(-),,
81,용역,20190121422-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190121422&bidseq=00&releaseYn=Y&taskClCd=5 ,2019학년도 중마고 신입생 셀프리더십 캠프 용역 입찰 공고,전라남도교육청 중마고등학교,전라남도교육청 중마고등학교,일반(총액)규격가격동시,2019/01/24 09:45(2019/02/07 10:00),,마감
82,용역,20190123180-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190123180&bidseq=00&releaseYn=Y&taskClCd=5 ,수안보초 겨울방학 스키캠프 현장체험학습 용역,충청북도충주교육청 수안보초등학교,충청북도충주교육청 수안보초등학교,수의(총액)소액수의,2019/01/23 13:35(2019/01/25 10:00),,
